juego_id,fecha,temporada,descanso_visitante,descanso_local,juegos_previos_visitante,juegos_previos_local,porcentaje_visitante,porcentaje_local,forma_visitante,forma_local,carreras_anotadas_visitante,carreras_anotadas_local,carreras_permitidas_visitante,carreras_permitidas_local,gano_local
718634,2023-04-10,2023,0,0,10,10,0.6,0.5,0.6,0.5,5.0,3.9,4.2,4.6,1
718611,2023-04-11,2023,0,0,10,11,0.7,0.6363636363636364,0.7,0.7,4.8,4.818181818181818,2.6,4.818181818181818,0
718613,2023-04-11,2023,0,0,10,11,0.3,0.45454545454545453,0.3,0.4,4.0,4.363636363636363,4.9,5.363636363636363,0
718614,2023-04-11,2023,0,0,11,10,0.36363636363636365,0.5,0.4,0.5,4.181818181818182,6.0,5.545454545454546,4.7,1
718615,2023-04-11,2023,0,0,11,10,0.2727272727272727,0.6,0.3,0.6,2.6363636363636362,5.8,4.454545454545454,3.8,1
718616,2023-04-11,2023,0,0,11,10,0.45454545454545453,0.6,0.4,0.6,5.090909090909091,4.0,6.363636363636363,2.8,1
718618,2023-04-11,2023,0,0,10,10,0.2,0.5,0.2,0.5,2.8,5.0,7.7,5.0,1
718619,2023-04-11,2023,0,0,11,10,0.36363636363636365,0.4,0.4,0.4,2.727272727272727,4.5,5.545454545454546,5.5,0
718621,2023-04-11,2023,0,0,11,11,0.5454545454545454,0.5454545454545454,0.6,0.5,4.545454545454546,4.0,4.2727272727272725,4.181818181818182,0
718623,2023-04-11,2023,0,0,11,10,0.45454545454545453,0.6,0.5,0.6,5.0,4.4,4.181818181818182,4.9,1
718624,2023-04-11,2023,0,0,11,10,0.5454545454545454,0.4,0.5,0.4,6.2727272727272725,4.8,4.090909090909091,5.1,1
718625,2023-04-11,2023,0,0,10,10,0.5,1.0,0.5,1.0,5.9,7.6,4.8,1.8,1
718626,2023-04-11,2023,0,0,10,11,0.6,0.6363636363636364,0.6,0.7,4.6,4.818181818181818,2.8,4.2727272727272725,0
718595,2023-04-12,2023,0,0,12,11,0.25,0.6363636363636364,0.3,0.6,2.8333333333333335,6.0,4.75,3.909090909090909,0
718598,2023-04-12,2023,0,0,11,12,0.7272727272727273,0.5833333333333334,0.8,0.6,5.0,4.5,2.4545454545454546,5.0,1
718599,2023-04-12,2023,0,0,11,11,0.18181818181818182,0.5454545454545454,0.1,0.5,3.272727272727273,5.636363636363637,8.090909090909092,5.2727272727272725,0
718600,2023-04-12,2023,0,0,11,11,0.45454545454545453,1.0,0.5,1.0,5.545454545454546,7.545454545454546,5.0,1.8181818181818181,1
718601,2023-04-12,2023,0,0,10,12,0.4,0.6666666666666666,0.4,0.6,4.5,4.833333333333333,5.0,4.083333333333333,1
718602,2023-04-12,2023,0,0,12,11,0.3333333333333333,0.5454545454545454,0.4,0.6,3.8333333333333335,5.636363636363637,5.25,4.2727272727272725,1
718603,2023-04-12,2023,0,0,10,11,0.2,0.6363636363636364,0.2,0.6,3.0,5.7272727272727275,7.1,5.545454545454546,1
718604,2023-04-12,2023,0,0,11,12,0.6363636363636364,0.5833333333333334,0.6,0.6,5.181818181818182,4.583333333333333,2.727272727272727,4.833333333333333,0
718605,2023-04-12,2023,0,0,12,11,0.4166666666666667,0.6363636363636364,0.4,0.6,4.916666666666667,4.0,6.166666666666667,2.8181818181818183,1
718606,2023-04-12,2023,0,0,12,10,0.3333333333333333,0.6,0.3,0.6,4.5,5.9,4.916666666666667,4.6,0
