juego_id,fecha,visitante,local,id_visitante,id_local,carreras_visitante,carreras_local,gano_local
824261,2026-06-22,New York Yankees,Detroit Tigers,147,116,3,5,1
822964,2026-06-22,Kansas City Royals,Tampa Bay Rays,118,139,2,1,0
823851,2026-06-22,Texas Rangers,Miami Marlins,140,146,4,3,0
822720,2026-06-22,Philadelphia Phillies,Washington Nationals,143,120,1,4,1
822800,2026-06-22,Houston Astros,Toronto Blue Jays,117,141,2,4,1
824502,2026-06-22,Milwaukee Brewers,Cincinnati Reds,158,113,2,1,0
823692,2026-06-22,Los Angeles Dodgers,Minnesota Twins,119,142,2,1,0
824585,2026-06-22,Cleveland Guardians,Chicago White Sox,114,145,5,6,1
823040,2026-06-22,Arizona Diamondbacks,St. Louis Cardinals,109,138,2,3,1
824344,2026-06-22,Boston Red Sox,Colorado Rockies,111,115,2,3,1
824016,2026-06-22,Baltimore Orioles,Los Angeles Angels,110,108,6,1,0
823288,2026-06-22,Atlanta Braves,San Diego Padres,144,135,0,1,1
822799,2026-06-23,Houston Astros,Toronto Blue Jays,117,141,9,7,0
823365,2026-06-23,Seattle Mariners,Pittsburgh Pirates,136,134,3,2,0
822963,2026-06-23,Kansas City Royals,Tampa Bay Rays,118,139,12,5,0
823849,2026-06-23,Texas Rangers,Miami Marlins,140,146,4,6,1
824262,2026-06-23,New York Yankees,Detroit Tigers,147,116,4,3,0
822718,2026-06-23,Philadelphia Phillies,Washington Nationals,143,120,14,9,0
823614,2026-06-23,Chicago Cubs,New York Mets,112,121,9,6,0
824501,2026-06-23,Milwaukee Brewers,Cincinnati Reds,158,113,2,0,0
823690,2026-06-23,Los Angeles Dodgers,Minnesota Twins,119,142,12,3,0
824584,2026-06-23,Cleveland Guardians,Chicago White Sox,114,145,1,2,1
823043,2026-06-23,Arizona Diamondbacks,St. Louis Cardinals,109,138,4,3,0
824340,2026-06-23,Boston Red Sox,Colorado Rockies,111,115,5,2,0
824017,2026-06-23,Baltimore Orioles,Los Angeles Angels,110,108,1,5,1
823286,2026-06-23,Atlanta Braves,San Diego Padres,144,135,6,7,1
823210,2026-06-23,Athletics,San Francisco Giants,133,137,1,3,1
823850,2026-06-24,Texas Rangers,Miami Marlins,140,146,2,4,1
823613,2026-06-24,Chicago Cubs,New York Mets,112,121,10,3,0
823611,2026-06-24,Chicago Cubs,New York Mets,112,121,10,5,0
824583,2026-06-24,Cleveland Guardians,Chicago White Sox,114,145,4,3,0
824341,2026-06-24,Boston Red Sox,Colorado Rockies,111,115,6,8,1
824018,2026-06-24,Baltimore Orioles,Los Angeles Angels,110,108,6,7,1
823367,2026-06-24,Seattle Mariners,Pittsburgh Pirates,136,134,1,11,1
822965,2026-06-24,Kansas City Royals,Tampa Bay Rays,118,139,3,5,1
824259,2026-06-24,New York Yankees,Detroit Tigers,147,116,4,2,0
822719,2026-06-24,Philadelphia Phillies,Washington Nationals,143,120,5,4,0
822798,2026-06-24,Houston Astros,Toronto Blue Jays,117,141,3,1,0
824500,2026-06-24,Milwaukee Brewers,Cincinnati Reds,158,113,6,5,0
823691,2026-06-24,Los Angeles Dodgers,Minnesota Twins,119,142,4,3,0
823041,2026-06-24,Arizona Diamondbacks,St. Louis Cardinals,109,138,9,4,0
823284,2026-06-24,Atlanta Braves,San Diego Padres,144,135,2,5,1
823208,2026-06-24,Athletics,San Francisco Giants,133,137,1,2,1
822961,2026-06-25,Kansas City Royals,Tampa Bay Rays,118,139,2,13,1
823366,2026-06-25,Seattle Mariners,Pittsburgh Pirates,136,134,1,5,1
823209,2026-06-25,Athletics,San Francisco Giants,133,137,9,6,0
824258,2026-06-25,Houston Astros,Detroit Tigers,117,116,2,1,0
822717,2026-06-25,Philadelphia Phillies,Washington Nationals,143,120,10,5,0
822797,2026-06-25,Texas Rangers,Toronto Blue Jays,140,141,6,5,0
823612,2026-06-25,Chicago Cubs,New York Mets,112,121,4,3,0
824747,2026-06-25,New York Yankees,Boston Red Sox,147,111,3,6,1
824255,2026-06-26,Houston Astros,Detroit Tigers,117,116,0,8,1
823363,2026-06-26,Cincinnati Reds,Pittsburgh Pirates,113,134,6,4,0
824824,2026-06-26,Washington Nationals,Baltimore Orioles,120,110,1,3,1
822796,2026-06-26,Texas Rangers,Toronto Blue Jays,140,141,5,4,0
824423,2026-06-26,Seattle Mariners,Cleveland Guardians,136,114,3,1,0
822962,2026-06-26,Arizona Diamondbacks,Tampa Bay Rays,109,139,1,6,1
823610,2026-06-26,Philadelphia Phillies,New York Mets,143,121,2,1,0
824743,2026-06-26,New York Yankees,Boston Red Sox,147,111,1,6,1
824582,2026-06-26,Kansas City Royals,Chicago White Sox,118,145,1,22,1
823773,2026-06-26,Chicago Cubs,Milwaukee Brewers,112,158,2,6,1
823688,2026-06-26,Colorado Rockies,Minnesota Twins,115,142,8,9,1
823039,2026-06-26,Miami Marlins,St. Louis Cardinals,146,138,4,0,0
824014,2026-06-26,Athletics,Los Angeles Angels,133,108,9,3,0
823285,2026-06-26,Los Angeles Dodgers,San Diego Padres,119,135,1,7,1
823206,2026-06-26,Atlanta Braves,San Francisco Giants,144,137,3,1,0
824257,2026-06-27,Houston Astros,Detroit Tigers,117,116,8,6,0
824745,2026-06-27,New York Yankees,Boston Red Sox,147,111,1,4,1
822794,2026-06-27,Texas Rangers,Toronto Blue Jays,140,141,7,4,0
823364,2026-06-27,Cincinnati Reds,Pittsburgh Pirates,113,134,9,7,0
823609,2026-06-27,Philadelphia Phillies,New York Mets,143,121,2,6,1
824581,2026-06-27,Kansas City Royals,Chicago White Sox,118,145,1,2,1
822960,2026-06-27,Arizona Diamondbacks,Tampa Bay Rays,109,139,2,4,1
824825,2026-06-27,Washington Nationals,Baltimore Orioles,120,110,4,3,0
824421,2026-06-27,Seattle Mariners,Cleveland Guardians,136,114,3,4,1
823689,2026-06-27,Colorado Rockies,Minnesota Twins,115,142,8,5,0
823770,2026-06-27,Chicago Cubs,Milwaukee Brewers,112,158,8,2,0
823038,2026-06-27,Miami Marlins,St. Louis Cardinals,146,138,5,1,0
823283,2026-06-27,Los Angeles Dodgers,San Diego Padres,119,135,15,3,0
823207,2026-06-27,Atlanta Braves,San Francisco Giants,144,137,0,5,1
824015,2026-06-27,Athletics,Los Angeles Angels,133,108,2,5,1
824821,2026-06-28,Washington Nationals,Baltimore Orioles,120,110,6,4,0
823362,2026-06-28,Cincinnati Reds,Pittsburgh Pirates,113,134,4,9,1
822795,2026-06-28,Texas Rangers,Toronto Blue Jays,140,141,3,2,0
824256,2026-06-28,Houston Astros,Detroit Tigers,117,116,7,5,0
824422,2026-06-28,Seattle Mariners,Cleveland Guardians,136,114,5,6,1
822959,2026-06-28,Arizona Diamondbacks,Tampa Bay Rays,109,139,1,5,1
823608,2026-06-28,Philadelphia Phillies,New York Mets,143,121,5,4,0
823686,2026-06-28,Colorado Rockies,Minnesota Twins,115,142,2,3,1
824580,2026-06-28,Kansas City Royals,Chicago White Sox,118,145,5,4,0
823769,2026-06-28,Chicago Cubs,Milwaukee Brewers,112,158,4,3,0
823037,2026-06-28,Miami Marlins,St. Louis Cardinals,146,138,1,2,1
824011,2026-06-28,Athletics,Los Angeles Angels,133,108,1,4,1
823204,2026-06-28,Atlanta Braves,San Francisco Giants,144,137,2,3,1
823281,2026-06-28,Los Angeles Dodgers,San Diego Padres,119,135,4,2,0
824744,2026-06-28,New York Yankees,Boston Red Sox,147,111,4,5,1
824822,2026-06-29,Chicago White Sox,Baltimore Orioles,145,110,8,2,0
823444,2026-06-29,Pittsburgh Pirates,Philadelphia Phillies,134,143,11,7,0
823529,2026-06-29,Detroit Tigers,New York Yankees,116,147,7,3,0
